//X,Y,Z,Scalar field
473988.96000671,5370969.82000732,111.20999908,1.000000
473989.50000000,5370969.48999023,112.04000092,1.000000
473989.83999634,5370969.17999268,111.58000183,1.000000
473990.21000671,5370968.85998535,111.43000031,1.000000
473990.57000732,5370968.54998779,111.12999725,1.000000
473990.85000610,5370968.22998047,110.30000305,2.000000
473991.27000427,5370967.91998291,110.41999817,1.000000
473991.71000671,5370967.59997559,110.68000031,1.000000
473992.16999817,5370967.28002930,111.00000000,1.000000
473992.58999634,5370966.96997070,111.15000153,1.000000
473993.03999329,5370966.65997314,111.41999817,1.000000
473993.50999451,5370966.34002686,111.90000153,1.000000
473994.00999451,5370966.03002930,112.47000122,1.000000
473994.38000488,5370965.71002197,112.26999664,1.000000
473994.78999329,5370965.40002441,112.36000061,1.000000
473995.24000549,5370965.08001709,112.61000061,1.000000
473995.77000427,5370964.77001953,113.44999695,1.000000
473996.11000061,5370964.46002197,113.05999756,1.000000
473993.69000244,5370964.59002686,112.30000305,1.000000
473993.21000671,5370964.90997314,111.83999634,1.000000
473992.74000549,5370965.22998047,111.48999786,1.000000
473992.25999451,5370965.55999756,111.11000061,1.000000
473991.80000305,5370965.86999512,110.75000000,1.000000
473991.32000732,5370966.20001221,110.37999725,1.000000
473990.91999817,5370966.52001953,110.47000122,1.000000
473990.47999573,5370966.84002686,110.31999969,1.000000
473990.03999329,5370967.16998291,110.19000244,1.000000
473989.60000610,5370967.48999023,110.06999969,1.000000
473989.19999695,5370967.80999756,110.09999847,1.000000
473988.82000732,5370968.14001465,110.37999725,1.000000
473988.47999573,5370968.46002197,110.87000275,1.000000
473987.91000366,5370968.78997803,109.91999817,1.000000
473987.38999939,5370969.11999512,109.37999725,1.000000
473986.94000244,5370969.45001221,109.18000031,1.000000
473986.57000732,5370969.78002930,109.51000214,1.000000
473985.99000549,5370970.11999512,108.62000275,1.000000
473985.44000244,5370970.45001221,107.80999756,1.000000
473984.97999573,5370970.78997803,107.62000275,2.000000
473984.57000732,5370971.11999512,107.77999878,1.000000
473984.36000061,5370971.42999268,109.04000092,1.000000
473984.05000305,5370971.76000977,109.72000122,1.000000
473983.61000061,5370972.08001709,109.59999847,1.000000
473983.13000488,5370972.41998291,109.31999969,1.000000
473982.44999695,5370972.76000977,107.72000122,1.000000
473981.99000549,5370973.09002686,107.50000000,1.000000
473981.53999329,5370973.41998291,107.33999634,1.000000
473981.16999817,5370973.73999023,107.61000061,1.000000
473980.83000183,5370974.04998779,108.04000092,1.000000
473979.75999451,5370974.05999756,108.58999634,1.000000
473980.21000671,5370973.75000000,108.95999908,1.000000
473980.33000183,5370973.46997070,107.34999847,1.000000
473980.71000671,5370973.15002441,107.23000336,2.000000
473981.22999573,5370972.83001709,107.93000031,1.000000
473981.53999329,5370972.53002930,107.48000336,1.000000
473982.11999512,5370972.21002197,108.56999969,1.000000
473982.69999695,5370971.89001465,109.66000366,1.000000
473983.11999512,5370971.57000732,109.72000122,1.000000
473983.47000122,5370971.26000977,109.37999725,1.000000
473983.83999634,5370970.94000244,109.19999695,1.000000
473984.02000427,5370970.63000488,107.77999878,1.000000
473984.41999817,5370970.30999756,107.66999817,2.000000
473984.85000610,5370969.98999023,107.76999664,2.000000
473985.30000305,5370969.65997314,107.94999695,1.000000
473985.86999512,5370969.32000732,108.91000366,1.000000
473986.22000122,5370969.00000000,108.48999786,1.000000
473986.71000671,5370968.66998291,108.93000031,1.000000
473987.17999268,5370968.34002686,109.29000092,1.000000
473987.63999939,5370968.02001953,109.56999969,1.000000
473988.07000732,5370967.70001221,109.69000244,1.000000
473988.50999451,5370967.39001465,109.95999908,1.000000
473988.92999268,5370967.07000732,110.02999878,1.000000
473989.35000610,5370966.75000000,110.13999939,1.000000
473989.75000000,5370966.44000244,110.13999939,2.000000
473990.16999817,5370966.13000488,110.27999878,1.000000
473990.58999634,5370965.82000732,110.43000031,1.000000
473991.02000427,5370965.51000977,110.63999939,1.000000
473991.47999573,5370965.20001221,111.04000092,1.000000
473991.91000366,5370964.89001465,111.23000336,1.000000
473992.33999634,5370964.58001709,111.50000000,1.000000
473990.17999268,5370964.47998047,110.63999939,1.000000
473989.69999695,5370964.79998779,110.25000000,1.000000
473989.27999878,5370965.11999512,110.18000031,1.000000
473988.83999634,5370965.45001221,110.05000305,1.000000
473988.42999268,5370965.78002930,110.16000366,1.000000
473987.97999573,5370966.09997559,109.97000122,1.000000
473987.52999878,5370966.42999268,109.77999878,1.000000
473987.08000183,5370966.76000977,109.62000275,1.000000
473986.61999512,5370967.09002686,109.41000366,1.000000
473986.08999634,5370967.42999268,108.79000092,1.000000
473985.61999512,5370967.76000977,108.48999786,1.000000
473985.16999817,5370968.09002686,108.33999634,1.000000
473984.69000244,5370968.41998291,107.98999786,1.000000
473984.33000183,5370968.73999023,108.34999847,1.000000
473984.02000427,5370969.07000732,109.08000183,1.000000
473983.72000122,5370969.39001465,109.83999634,1.000000
473983.35000610,5370969.70001221,110.08000183,1.000000
473983.08000183,5370970.02001953,110.93000031,1.000000
473982.50000000,5370970.04998779,107.44000244,2.000000
