//X,Y,Z,Scalar field
472511.23999023,5370027.63999939,56.79000092,1.000000
472511.76000977,5370027.34000015,56.61999893,2.000000
472512.31005859,5370027.01000023,56.65000153,2.000000
472512.83996582,5370026.70000076,56.52000046,2.000000
472513.39001465,5370026.37000084,56.54999924,1.000000
472513.90002441,5370026.07999992,56.33000183,2.000000
472514.45996094,5370025.72999954,56.45000076,1.000000
472515.00000000,5370025.40999985,56.36999893,1.000000
472515.53002930,5370025.09000015,56.34000015,2.000000
472516.06005859,5370024.77000046,56.31000137,1.000000
472516.58996582,5370024.45999908,56.22999954,2.000000
472517.13000488,5370024.12999916,56.25999832,1.000000
472517.66003418,5370023.80999947,56.25999832,1.000000
472518.18005371,5370023.51000023,56.16999817,2.000000
472518.70996094,5370023.18000031,56.16999817,1.000000
472519.22998047,5370022.87999916,56.06999969,2.000000
472519.75000000,5370022.55999947,56.09000015,1.000000
472520.51000977,5370023.94000053,56.15000153,1.000000
472520.03002930,5370024.21999931,56.22999954,1.000000
472519.52001953,5370024.53000069,56.22000122,2.000000
472519.04003906,5370024.80999947,56.31000137,1.000000
472518.54003906,5370025.12000084,56.25000000,2.000000
472518.06005859,5370025.40999985,56.31999969,1.000000
472517.56994629,5370025.70999908,56.31999969,1.000000
472517.07995605,5370026.00000000,56.38000107,1.000000
472516.58996582,5370026.29999924,56.34999847,2.000000
472516.10998535,5370026.59000015,56.40999985,1.000000
472515.63000488,5370026.87999916,56.43000031,1.000000
472515.16003418,5370027.15999985,56.52000046,1.000000
472514.67004395,5370027.45999908,56.43999863,1.000000
472514.18994141,5370027.73999977,56.54000092,1.000000
472513.70996094,5370028.04000092,56.50000000,1.000000
472513.23999023,5370028.31999969,56.59000015,2.000000
472512.76000977,5370028.60000038,56.65999985,2.000000
472512.29003906,5370028.88999939,56.70999908,2.000000
472512.79003906,5370028.96999931,56.63000107,2.000000
472513.33996582,5370028.63999939,56.58000183,2.000000
472513.86999512,5370028.34000015,56.41999817,2.000000
472514.44995117,5370027.97999954,56.52999878,1.000000
472514.96997070,5370027.68000031,56.34999847,2.000000
472515.54003906,5370027.31999969,56.50999832,1.000000
472516.07995605,5370027.01000023,56.36999893,2.000000
472516.63000488,5370026.67000008,56.40000153,1.000000
472517.15002441,5370026.37000084,56.27000046,2.000000
472517.69995117,5370026.03000069,56.31999969,1.000000
472518.22998047,5370025.71999931,56.27000046,2.000000
472518.77001953,5370025.38999939,56.33000183,1.000000
472519.28002930,5370025.09000015,56.22000122,2.000000
472519.81994629,5370024.76000023,56.27999878,1.000000
472520.31994629,5370024.46999931,56.11000061,2.000000
472520.84997559,5370024.13999939,56.15999985,1.000000
472521.96997070,5370025.27000046,56.36000061,1.000000
472521.46997070,5370025.57999992,56.34000015,1.000000
472520.97998047,5370025.87000084,56.36999893,1.000000
472520.48999023,5370026.18000031,56.31999969,2.000000
472520.01000977,5370026.45999908,56.41999817,1.000000
472519.51000977,5370026.77000046,56.36000061,2.000000
472519.03002930,5370027.05999947,56.38000107,2.000000
472518.54003906,5370027.36000061,56.43000031,2.000000
472518.06005859,5370027.63999939,56.52999878,1.000000
472517.56005859,5370027.95000076,56.43000031,2.000000
472517.07995605,5370028.23999977,56.52999878,1.000000
472516.58996582,5370028.53000069,56.54999924,1.000000
472516.08996582,5370028.82999992,56.56999969,2.000000
472515.58996582,5370029.13999939,56.54000092,2.000000
472515.10998535,5370029.43000031,56.59999847,1.000000
472514.59997559,5370029.73999977,56.56000137,2.000000
472514.11999512,5370030.03000069,56.65000153,1.000000
472513.61999512,5370030.34000015,56.61000061,2.000000
472513.71997070,5370030.68000031,56.59999847,2.000000
472514.27001953,5370030.34000015,56.65000153,1.000000
472514.81005859,5370030.02000046,56.61000061,2.000000
472515.34997559,5370029.69000053,56.61000061,1.000000
472515.88000488,5370029.37999916,56.52000046,2.000000
472516.43005371,5370029.04000092,56.56999969,2.000000
472516.94995117,5370028.73999977,56.49000168,2.000000
472517.50000000,5370028.39999962,56.50999832,1.000000
472518.02001953,5370028.09000015,56.43000031,2.000000
472518.55004883,5370027.77000046,56.45000076,2.000000
472519.08996582,5370027.45000076,56.40999985,2.000000
472519.61999512,5370027.12999916,56.40000153,2.000000
472520.15002441,5370026.80999947,56.40000153,2.000000
472520.68005371,5370026.50000000,56.34000015,2.000000
472521.20996094,5370026.18000031,56.36000061,2.000000
472521.73999023,5370025.86000061,56.31000137,2.000000
472522.29003906,5370025.53000069,56.33000183,2.000000
472523.40002441,5370026.71999931,56.40000153,2.000000
472523.03002930,5370026.84000015,57.31999969,1.000000
472522.56005859,5370027.11000061,57.45000076,1.000000
472522.06994629,5370027.40999985,57.47000122,1.000000
472521.46997070,5370027.85000038,56.68999863,1.000000
472520.95996094,5370028.19000053,56.49000168,2.000000
472520.44995117,5370028.50000000,56.41999817,2.000000
472519.96997070,5370028.79000092,56.52000046,1.000000
472519.46997070,5370029.10000038,56.43000031,2.000000
472518.98999023,5370029.37999916,56.59000015,1.000000
